t 0.02, x 18.26352, y 0, z 9.848078, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8003428, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8044021, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.808378, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8125358, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8164322, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8202267, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8244053, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8284154, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8323866, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8364908, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.840421, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8442061, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8484182, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8523743, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8564797, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8603805, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8642871, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8684479, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8723726, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8764331, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8803446, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.884401, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8884297, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8923962, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.89636, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9004077, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9043702, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9084042, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9123662, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9164115, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9202239, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9244397, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9283882, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9323554, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9363989, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9405102, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9442182, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9483514, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9524859, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9563659, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9604338, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.964316, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9685193, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9723841, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9764658, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9802988, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9844808, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9884226, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9922338, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9964321, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.000407, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.004208, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.008479, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.012252, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.016198, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.020204, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.024374, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.028289, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.032571, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.072851, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.076303, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.08031, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.084315, x 19.08648, y -2.40228, z 9.664084, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.090671, x 19.08648, y -2.40228, z 9.664084, scale_x 0.9, scale_y 0.9, scale_z 0.9, stimulusOn True
t 1.096686, x 19.08648, y -2.40228, z 9.664084, scale_x 0.7, scale_y 0.7, scale_z 0.7, stimulusOn True
t 1.100532, x 19.08648, y -2.40228, z 9.664084, scale_x 0.5, scale_y 0.5, scale_z 0.5, stimulusOn True
t 1.104412, x 19.08648, y -2.40228, z 9.664084, scale_x 0.5, scale_y 0.5, scale_z 0.5, stimulusOn True
