t 1.164393, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.168439, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.172199, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.176149, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.180371, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.184469, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.188493, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.19234, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.196332, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.200391, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.20434, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.208368, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.212393, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.216472, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.220478, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.224382, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.228524, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.232369, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.236249, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.240218, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.244358, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.248349, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.252383, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.256153, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.260416, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.264161, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.268392, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.272257, x 10.34343, y -2.137376, z 48.87172, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
