t 3.414976, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.422024, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.430676, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.438737, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.445902, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.454911, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.462857, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.470769, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.477953, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.486846, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.494656, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.501956, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.51107, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.518676, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.526468, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.533991, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.543175, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.550496, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.558022, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.587271, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.594504, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.60197, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.609987, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.618223, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.625817, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.634094, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.641917, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.649879, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.657803, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.667327, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.673761, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.677644, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.68171, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.685633, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.690578, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.698374, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.706274, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.714117, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.722076, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.730019, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.738871, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.746604, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 3.755096, x -9.92562, y 0.08726642, z 49.00484, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
