t 1.454673, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.471263, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.47496, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.495299, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.498665, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.502948, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.506794, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.510865, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.514785, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.518829, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.522805, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.526748, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.530601, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.534795, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.538742, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.542816, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.546824, x -0.8085524, y -11.03487, z 48.76041, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
