t 0.6866945, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6904924, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6946092, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.6986523, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7025794, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7064717, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7106918, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7145944, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7185574, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7224304, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7266073, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7306067, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7346069, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7389183, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7425498, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7466618, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7505934, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7545477, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7585652, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7625998, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7666344, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7706769, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7745053, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7786795, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7825632, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7866476, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7905499, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7946153, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.7986163, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8026015, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.806617, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8106214, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8146204, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8185722, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8225088, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8266207, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8305309, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8346857, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8389359, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8425943, x -1.087884, y -3.618393, z 49.85703, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
