t, stimulusOn
1.818183, 2021-06-09T17:17:47.9114320+08:00, False
1.822534, 2021-06-09T17:17:47.9160310+08:00, False
1.82656, 2021-06-09T17:17:47.9197920+08:00, False
1.83023, 2021-06-09T17:17:47.9234670+08:00, False
1.834545, 2021-06-09T17:17:47.9278510+08:00, False
1.838094, 2021-06-09T17:17:47.9313160+08:00, False
1.842452, 2021-06-09T17:17:47.9359770+08:00, False
1.846636, 2021-06-09T17:17:47.9398770+08:00, False
1.850138, 2021-06-09T17:17:47.9433870+08:00, False
1.854938, 2021-06-09T17:17:47.9482180+08:00, False
1.862366, 2021-06-09T17:17:47.9559460+08:00, False
1.86617, 2021-06-09T17:17:47.9594010+08:00, False
1.870196, 2021-06-09T17:17:47.9634410+08:00, False
1.875195, 2021-06-09T17:17:47.9684410+08:00, False
1.882492, 2021-06-09T17:17:47.9760210+08:00, False
1.88621, 2021-06-09T17:17:47.9794410+08:00, False
1.890659, 2021-06-09T17:17:47.9839000+08:00, False
1.89407, 2021-06-09T17:17:47.9873010+08:00, False
1.898435, 2021-06-09T17:17:47.9916570+08:00, False
1.906456, 2021-06-09T17:17:48.0000210+08:00, False
1.910532, 2021-06-09T17:17:48.0038350+08:00, False
1.914204, 2021-06-09T17:17:48.0074380+08:00, False
1.918188, 2021-06-09T17:17:48.0114220+08:00, False
1.922498, 2021-06-09T17:17:48.0159970+08:00, False
1.926258, 2021-06-09T17:17:48.0194790+08:00, False
1.930309, 2021-06-09T17:17:48.0235240+08:00, False
1.935249, 2021-06-09T17:17:48.0294290+08:00, False
1.942317, 2021-06-09T17:17:48.0364020+08:00, False
1.950193, 2021-06-09T17:17:48.0435270+08:00, False
1.954314, 2021-06-09T17:17:48.0477880+08:00, False
1.959343, 2021-06-09T17:17:48.0526710+08:00, False
1.966337, 2021-06-09T17:17:48.0599520+08:00, False
1.970152, 2021-06-09T17:17:48.0634280+08:00, False
1.974777, 2021-06-09T17:17:48.0680600+08:00, False
1.982446, 2021-06-09T17:17:48.0761450+08:00, False
1.986261, 2021-06-09T17:17:48.0795360+08:00, False
1.990557, 2021-06-09T17:17:48.0838750+08:00, False
1.994129, 2021-06-09T17:17:48.0874030+08:00, False
1.998211, 2021-06-09T17:17:48.0915190+08:00, False
2.002301, 2021-06-09T17:17:48.0958680+08:00, False
2.006706, 2021-06-09T17:17:48.1000490+08:00, False
2.010728, 2021-06-09T17:17:48.1041410+08:00, False
2.014337, 2021-06-09T17:17:48.1076270+08:00, False
2.018395, 2021-06-09T17:17:48.1116680+08:00, False
2.023228, 2021-06-09T17:17:48.1168340+08:00, False
2.0307, 2021-06-09T17:17:48.1240440+08:00, False
2.034339, 2021-06-09T17:17:48.1276230+08:00, False
2.038218, 2021-06-09T17:17:48.1315640+08:00, False
2.042232, 2021-06-09T17:17:48.1358010+08:00, False
2.046271, 2021-06-09T17:17:48.1395550+08:00, False
2.050226, 2021-06-09T17:17:48.1434990+08:00, False
2.054563, 2021-06-09T17:17:48.1478850+08:00, False
2.058899, 2021-06-09T17:17:48.1521860+08:00, False
2.062186, 2021-06-09T17:17:48.1558560+08:00, False
2.066394, 2021-06-09T17:17:48.1598850+08:00, False
2.070324, 2021-06-09T17:17:48.1636690+08:00, False
2.074869, 2021-06-09T17:17:48.1681860+08:00, False
2.078442, 2021-06-09T17:17:48.1719310+08:00, False
2.082405, 2021-06-09T17:17:48.1760300+08:00, False
