t 1.026515, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.030293, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.034457, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.038564, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.042408, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.046469, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.050456, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.054443, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.058385, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.062199, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.066427, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.070429, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.074463, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.078463, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.082282, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.086568, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.090175, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.094479, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.098378, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.102481, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.106487, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.110454, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.114354, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.11847, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.122241, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.126485, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.130433, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.134479, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.138382, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.142284, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.146517, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.150401, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.154326, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.158461, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.162549, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.166306, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.170529, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.174375, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.178478, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.182559, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.186541, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.190437, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.194673, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.198422, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.202655, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.206361, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.210414, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.214356, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.218437, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.222315, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.226424, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.230289, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.234405, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.238327, x 0, y 8.682408, z 49.24039, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
