t 24.53993, x -13.7859, y 5.35658, z 47.76249, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.54395, x -13.7859, y 5.35658, z 47.76249, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.54785, x -13.7859, y 5.35658, z 47.76249, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.55193, x -13.49388, y 5.35658, z 47.84582, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.55594, x -13.49388, y 5.35658, z 47.84582, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.55991, x -13.49388, y 5.35658, z 47.84582, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.56395, x -13.41036, y 5.35658, z 47.8693, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.5678, x -13.41036, y 5.35658, z 47.8693, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.57175, x -13.41036, y 5.35658, z 47.8693, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.57601, x -13.32679, y 5.35658, z 47.89263, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.5799, x -13.32679, y 5.35658, z 47.89263, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.58455, x -13.20136, y 5.35658, z 47.92735, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.58786, x -13.07584, y 5.35658, z 47.96175, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.59194, x -13.07584, y 5.35658, z 47.96175, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.59592, x -12.82454, y 5.35658, z 48.02956, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.59991, x -12.82454, y 5.35658, z 48.02956, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.60393, x -12.82454, y 5.35658, z 48.02956, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.60799, x -12.69875, y 5.35658, z 48.06297, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.61187, x -12.69875, y 5.35658, z 48.06297, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
t 24.61585, x -12.69875, y 5.35658, z 48.06297, scale_x 4.900001, scale_y 4.900001, scale_z 4.900001, stimulusOn True
