t 0.02, x 0, y -0.08726642, z 49.99992, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.290182, x 26.08751, y -33.74733, z 26.08752, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.293997, x 26.08751, y -33.74733, z 26.08752, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.298132, x 26.08751, y -33.74733, z 26.08752, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.302204, x 26.24803, y -33.77952, z 25.88407, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.305897, x 26.24803, y -33.77952, z 25.88407, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.310183, x 26.24803, y -33.77952, z 25.88407, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.314553, x 26.36338, y -33.8438, z 25.68207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.318074, x 26.36338, y -33.8438, z 25.68207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.322128, x 26.36338, y -33.8438, z 25.68207, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.326074, x 26.45287, y -33.8438, z 25.58989, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.330193, x 26.45287, y -33.8438, z 25.58989, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.333983, x 26.58733, y -33.87591, z 25.40741, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.338146, x 26.72054, y -33.90798, z 25.22422, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.342063, x 26.72054, y -33.90798, z 25.22422, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.346891, x 26.78683, y -33.94005, z 25.11054, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.350095, x 26.78683, y -33.94005, z 25.11054, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.354164, x 26.78683, y -33.94005, z 25.11054, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.358024, x 26.91797, y -33.97207, z 24.92632, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.361913, x 26.91797, y -33.97207, z 24.92632, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.366211, x 26.91797, y -33.97207, z 24.92632, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.370071, x 26.98314, y -33.97207, z 24.85576, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.374063, x 26.98314, y -33.97207, z 24.85576, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.378186, x 26.98314, y -33.97207, z 24.85576, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.381899, x 27.11291, y -33.97206, z 24.71414, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.386248, x 27.11291, y -33.97206, z 24.71414, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.389918, x 27.11291, y -33.97206, z 24.71414, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.39407, x 27.17752, y -33.97207, z 24.64307, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.398043, x 27.17752, y -33.97207, z 24.64307, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.401941, x 27.26338, y -33.97206, z 24.54805, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.405951, x 27.26338, y -33.97206, z 24.54805, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.411401, x 27.26338, y -33.97206, z 24.54805, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.417932, x 27.3481, y -34.00407, z 24.40911, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.422234, x 27.3481, y -34.00407, z 24.40911, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.426011, x 27.49304, y -34.09992, z 24.11075, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.430276, x 27.49304, y -34.09992, z 24.11075, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.434166, x 27.49304, y -34.09992, z 24.11075, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.438277, x 27.57391, y -34.16369, z 23.92742, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.442103, x 27.57391, y -34.16369, z 23.92742, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.446015, x 27.57391, y -34.16369, z 23.92742, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.449889, x 27.65354, y -34.22736, z 23.74384, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.454235, x 27.65354, y -34.22736, z 23.74384, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.457998, x 27.73191, y -34.29092, z 23.56001, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.462178, x 27.73191, y -34.29092, z 23.56001, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.466011, x 27.73191, y -34.29092, z 23.56001, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.47014, x 27.78862, y -34.35437, z 23.4002, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.474135, x 27.78862, y -34.35437, z 23.4002, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.478165, x 27.78862, y -34.35437, z 23.4002, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.482113, x 27.80379, y -34.41773, z 23.28883, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.486165, x 27.80379, y -34.41773, z 23.28883, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.489909, x 27.80379, y -34.41773, z 23.28883, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.493972, x 27.8618, y -34.44937, z 23.17242, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.498138, x 27.8618, y -34.44937, z 23.17242, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.502034, x 27.8618, y -34.44937, z 23.17242, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.506033, x 27.85888, y -34.48098, z 23.12889, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.510162, x 27.85888, y -34.48098, z 23.12889, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.514102, x 27.87288, y -34.54412, z 23.01752, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.518101, x 27.88643, y -34.60716, z 22.90616, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.522089, x 27.88643, y -34.60716, z 22.90616, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.525939, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.530317, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.534114, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.538941, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.542012, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.546162, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.550123, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.554197, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.558194, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.561954, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.568673, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.587117, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.594556, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.601088, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.607843, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.611711, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.615572, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.619673, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.623761, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.628842, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.631509, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.635484, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.639608, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.643488, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.647722, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.651533, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.655477, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.659512, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.663488, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.66767, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.671569, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.675628, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.679495, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.683452, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.687473, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.691518, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.695494, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.699714, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.703464, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.707495, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.711698, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.715727, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.719467, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.723445, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.727728, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.731884, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.735616, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.73967, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.743752, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.747719, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.751698, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.75548, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.759686, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.763698, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.767753, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.772292, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.775539, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.77975, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.783684, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.787696, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.791665, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.795721, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.799694, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.80366, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.807739, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.811645, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.815982, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.819659, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.823614, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.827713, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.831508, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.835642, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.839815, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.843705, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.847448, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.851366, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.855354, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.85982, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.863657, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.867762, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.872144, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.875599, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.879737, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.883718, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.887715, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.89161, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.8957, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.899814, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.903711, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.907604, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.911676, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.915754, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.91971, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.923764, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.927689, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.931541, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.935598, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.939581, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.943641, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.947798, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.951742, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.955457, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.959518, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.963759, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.967682, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.97213, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.97558, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.979686, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.983777, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.987708, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.991676, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.995718, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.999738, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.003716, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.007625, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.011759, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.015719, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.019686, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.023548, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.027611, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.031502, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.035743, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.039654, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.043708, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.047696, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.051667, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.055453, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.059719, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.063738, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.067759, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.072082, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.075667, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.079745, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.083689, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.087707, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.091524, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.095729, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.099715, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.103592, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.107612, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.111738, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.115609, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.119721, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.123453, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.12772, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.131497, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.13573, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.139663, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.143709, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.147698, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.151791, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.155459, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.159753, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.163759, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.167444, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.172244, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.175667, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.179721, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.183467, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.187722, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.191467, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.195603, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.199486, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.203577, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.207716, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.211774, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.215674, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.219769, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.223672, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.227786, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.23147, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.235688, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.23972, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.243687, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.247725, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.251705, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.255453, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.259737, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.263786, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.267689, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.272229, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.275577, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.279765, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.283707, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.287677, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 2.291624, x 27.9064, y -34.60715, z 22.88182, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
