t 0.8993328, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9033101, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9074484, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9115674, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9155626, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9194611, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9252194, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9409162, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9436046, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.947444, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9518474, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.95566, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9593849, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9634373, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9675021, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9715181, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9756346, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9795637, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9837298, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.988136, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9914682, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.995639, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9996535, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.00349, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.007698, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.011542, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.015717, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.019582, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.023658, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.027571, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.031725, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.035819, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.039524, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.043492, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.047562, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.051711, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.055495, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.059569, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.063646, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.067643, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.071391, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.075787, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.079556, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.083608, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.088023, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.09166, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.095595, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.099582, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.103663, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.107468, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.111723, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.115747, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.119539, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.123479, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.127741, x 28.33508, y -28.10417, z 30.12107, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
