t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.224251, x -2.174972, y -3.705425, z 49.81505, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.228238, x -2.174972, y -3.705425, z 49.81505, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.232272, x -2.218727, y -3.618393, z 49.81952, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.236701, x -2.218727, y -3.618393, z 49.81952, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.240234, x -2.262624, y -3.487824, z 49.82685, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.244336, x -2.262624, y -3.487824, z 49.82685, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.248215, x -2.306519, y -3.357232, z 49.83381, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.252221, x -2.306519, y -3.357232, z 49.83381, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.256264, x -2.306653, y -3.313695, z 49.83672, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.260271, x -2.306653, y -3.313695, z 49.83672, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.264252, x -2.350544, y -3.183072, z 49.84319, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.268274, x -2.350544, y -3.183072, z 49.84319, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.27209, x -2.394558, y -3.008874, z 49.85191, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.27629, x -2.394558, y -3.008874, z 49.85191, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.280007, x -2.438438, y -2.878201, z 49.8575, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.284342, x -2.438438, y -2.878201, z 49.8575, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.288215, x -2.438797, y -2.747509, z 49.86485, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.292248, x -2.438797, y -2.747509, z 49.86485, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.296199, x -2.482773, y -2.573223, z 49.87198, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.300246, x -2.482773, y -2.573223, z 49.87198, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.304166, x -2.57015, y -2.442489, z 49.87413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 1.308328, x -2.57015, y -2.442489, z 49.87413, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
