t, stimulusOn
8.431853, False
8.436838, False
8.442052, False
8.448055, False
8.452703, False
8.45801, False
8.464192, False
8.472587, False
8.480192, False
8.483797, False
8.487752, False
8.494142, False
8.500006, False
8.504524, False
8.510816, False
8.516159, False
8.522252, False
8.529226, False
8.534147, False
8.5399, False
8.545361, False
8.550276, False
8.555968, False
8.562501, False
8.56848, False
8.575991, False
8.580181, False
8.585108, False
8.590445, False
8.596943, False
8.615752, False
8.61994, False
8.626388, False
8.632245, False
8.635951, False
8.639709, False
8.643743, False
8.647698, False
8.651861, False
8.655881, False
8.659619, False
8.664129, False
8.669704, False
8.676005, False
8.680689, False
8.686447, False
8.691857, False
8.697285, False
8.703804, False
8.707994, False
8.714513, False
8.720521, False
8.728389, False
8.732732, False
8.737552, False
8.74394, False
8.748389, False
8.753686, False
8.760131, False
8.768228, False
8.776125, False
8.77972, False
8.78397, False
8.787902, False
8.792765, False
8.798657, False
8.804126, False
8.810212, False
8.817373, True
8.824114, True
8.827999, True
8.833126, True
8.838045, True
8.844097, True
8.849016, True
8.85435, True
8.861207, True
8.868313, True
8.87598, True
8.879797, True
8.884003, True
8.889379, True
8.895901, True
8.90081, True
8.906155, True
8.912144, True
8.917067, False
8.924421, False
8.930016, False
8.935928, False
8.940318, False
8.946204, False
8.951811, False
8.95701, False
8.962184, False
8.968638, False
8.97621, False
8.980352, False
8.985803, False
8.991747, False
8.997568, False
9.003851, False
9.007784, False
9.01418, False
9.020339, False
9.026381, False
9.032, False
9.037365, False
9.043928, False
9.048032, False
9.053617, False
9.060028, False
9.064697, False
9.072326, False
9.07979, False
9.083697, False
9.087981, False
9.094505, False
9.100011, False
9.105106, False
9.109669, False
9.116009, False
9.12251, False
9.129292, False
9.136045, False
9.139911, False
9.145519, False
9.151971, False
9.155914, False
9.162684, False
9.168446, False
9.175971, False
9.179898, False
9.184515, False
9.19033, False
9.196041, True
9.201001, True
9.206347, True
9.212655, True
9.220033, True
9.227798, True
9.231889, True
9.236135, True
9.24157, True
9.247737, True
9.252501, True
9.257455, True
9.264504, True
9.27206, True
9.280108, True
9.283737, True
9.287721, True
9.293758, True
9.299822, False
9.303958, False
9.308885, False
9.315963, False
9.340237, False
9.343697, False
