t 0.02, x 0, y 0, z 50, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8869637, x -0.4718448, y -9.154673, z 49.15251, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8909273, x -0.4718448, y -9.154673, z 49.15251, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8950391, x -0.4719975, y -9.068866, z 49.16842, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.8989391, x -0.4719975, y -9.068866, z 49.16842, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9027841, x -0.5149875, y -9.025952, z 49.17588, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.906765, x -0.5149875, y -9.025952, z 49.17588, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9109087, x -0.5580792, y -8.940106, z 49.19109, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9150192, x -0.5580792, y -8.940106, z 49.19109, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9189872, x -0.5582554, y -8.854232, z 49.20662, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9229338, x -0.5582554, y -8.854232, z 49.20662, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9270071, x -0.5583428, y -8.811285, z 49.21432, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9310338, x -0.5583428, y -8.811285, z 49.21432, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9350417, x -0.6013839, y -8.768331, z 49.22149, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9388889, x -0.6013839, y -8.768331, z 49.22149, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9429367, x -0.6014771, y -8.725369, z 49.22912, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9469423, x -0.6014771, y -8.725369, z 49.22912, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9510447, x -0.60157, y -8.682403, z 49.23671, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9548982, x -0.60157, y -8.682403, z 49.23671, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9588315, x -0.6446359, y -8.639429, z 49.24373, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9630284, x -0.6446359, y -8.639429, z 49.24373, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9669684, x -0.6447342, y -8.596449, z 49.25125, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9708475, x -0.6447342, y -8.596449, z 49.25125, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9753565, x -0.6448322, y -8.553462, z 49.25873, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9788451, x -0.6448322, y -8.553462, z 49.25873, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9831593, x -0.6448322, y -8.553462, z 49.25873, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9868729, x -0.6448322, y -8.553462, z 49.25873, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.991002, x -0.6449296, y -8.510468, z 49.26617, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
t 0.9948836, x -0.6449296, y -8.510468, z 49.26617, scale_x 1, scale_y 1, scale_z 1, stimulusOn True
