t, x1, y1, z1, scale_x1, scale_y1, scale_z1, x2, y2, z2, scale_x2, scale_y2, scale_z2, stimulusOn
13.77432, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.77879, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.78545, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.78898, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.79302, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.79703, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.80121, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.80608, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.81026, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.81446, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.81915, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.82936, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.84129, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.84489, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.84887, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.85311, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.85705, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.86106, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.86513, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.86917, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.87299, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.87716, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.8809, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.88505, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.889, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.89309, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.897, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.90122, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.90498, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.90915, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.91311, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.91708, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.92093, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.92496, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.92916, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.933, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.93773, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.94196, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.94706, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.95338, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.95689, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.96096, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.96514, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.96913, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.97397, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.97813, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.98314, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.98937, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.99282, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
13.99713, -20.71763, 0, 10, 1, 1, 1, -20.71926, -100, 10, 2, 2, 2, True
